,PassengerId,Survived,Age,SibSp,Parch,Fare,NameLength,HasCabin,Pclass_1,Pclass_2,Pclass_3,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S
0,1,0,22.0,1,0,7.25,23,0,0,0,1,0,1,0,0,1
1,2,1,38.0,1,0,71.2833,51,1,1,0,0,1,0,1,0,0
2,3,1,26.0,0,0,7.925,22,0,0,0,1,1,0,0,0,1
3,4,1,35.0,1,0,53.1,44,1,1,0,0,1,0,0,0,1
4,5,0,35.0,0,0,8.05,24,0,0,0,1,0,1,0,0,1
5,6,0,29.69911764705882,0,0,8.4583,16,0,0,0,1,0,1,0,1,0
6,7,0,54.0,0,0,51.8625,23,1,1,0,0,0,1,0,0,1
7,8,0,2.0,3,1,21.075,30,0,0,0,1,0,1,0,0,1
8,9,1,27.0,0,2,11.1333,49,0,0,0,1,1,0,0,0,1
9,10,1,14.0,1,0,30.0708,35,0,0,1,0,1,0,1,0,0
10,11,1,4.0,1,1,16.7,31,1,0,0,1,1,0,0,0,1
11,12,1,58.0,0,0,26.55,24,1,1,0,0,1,0,0,0,1
12,13,0,20.0,0,0,8.05,30,0,0,0,1,0,1,0,0,1
13,14,0,39.0,1,5,31.275,27,0,0,0,1,0,1,0,0,1
14,15,0,14.0,0,0,7.8542,36,0,0,0,1,1,0,0,0,1
15,16,1,55.0,0,0,16.0,32,0,0,1,0,1,0,0,0,1
16,17,0,2.0,4,1,29.125,20,0,0,0,1,0,1,0,1,0
17,18,1,29.69911764705882,0,0,13.0,28,0,0,1,0,0,1,0,0,1
18,19,0,31.0,1,0,18.0,55,0,0,0,1,1,0,0,0,1
19,20,1,29.69911764705882,0,0,7.225,23,0,0,0,1,1,0,1,0,0
20,21,0,35.0,0,0,26.0,20,0,0,1,0,0,1,0,0,1
21,22,1,34.0,0,0,13.0,21,1,0,1,0,0,1,0,0,1
22,23,1,15.0,0,0,8.0292,27,0,0,0,1,1,0,0,1,0
23,24,1,28.0,0,0,35.5,28,1,1,0,0,0,1,0,0,1
24,25,0,8.0,3,1,21.075,29,0,0,0,1,1,0,0,0,1
25,26,1,38.0,1,5,31.3875,57,0,0,0,1,1,0,0,0,1
26,27,0,29.69911764705882,0,0,7.225,23,0,0,0,1,0,1,1,0,0
27,28,0,19.0,3,2,263.0,30,1,1,0,0,0,1,0,0,1
28,29,1,29.69911764705882,0,0,7.8792,29,0,0,0,1,1,0,0,1,0
29,30,0,29.69911764705882,0,0,7.8958,19,0,0,0,1,0,1,0,0,1
30,31,0,40.0,0,0,27.7208,24,0,1,0,0,0,1,1,0,0
31,32,1,29.69911764705882,1,0,146.5208,46,1,1,0,0,1,0,1,0,0
32,33,1,29.69911764705882,0,0,7.75,24,0,0,0,1,1,0,0,1,0
33,34,0,66.0,0,0,10.5,21,0,0,1,0,0,1,0,0,1
34,35,0,28.0,1,0,82.1708,23,0,1,0,0,0,1,1,0,0
